Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Night Lovell,"2,221,166,753","1,887,797,751","1,590,443,615","333,369,002","636,952","521,625","405,093","115,327",87,80,69,7
W&W,"2,224,342,745","1,168,974,951","289,062,370","1,055,367,794","1,869,115","769,202","36,256","1,099,913",284,190,64,94
Koba LaD,"2,226,187,670","1,575,077,098","794,739,561","651,110,572","785,558","482,654","205,418","302,904",172,90,66,82
Alex G,"2,231,447,863","2,231,447,863","1,915,457,254",0,"3,348,670","3,348,670","2,803,177",0,140,140,138,0
Calle 24,"2,229,326,934","1,510,563,341","260,529,758","718,763,593","2,746,157","1,617,283","352,049","1,128,874",80,57,42,23
Bailey Zimmerman,"2,233,877,397","2,151,040,961","2,149,256,400","82,836,436","2,610,965","2,521,052","2,518,147","89,913",38,34,33,4
White 2115,"2,234,053,218","1,083,767,267","819,460,500","1,150,285,951","937,310","487,842","292,039","449,468",172,80,52,92
The Greatest Showman Ensemble,"2,235,188,280","4,504,156","4,504,156","2,230,684,124","732,827","1,286","1,286","731,541",9,2,2,7
Ñejo,"2,235,938,162","754,117,216","218,085,431","1,481,820,946","1,138,662","423,793","139,613","714,869",179,105,48,74
Ed Maverick,"2,236,192,051","2,048,491,540","1,794,195,825","187,700,511","1,111,099","1,019,831","865,275","91,268",75,71,66,4
BigXthaPlug,"2,238,089,941","1,965,136,464","1,721,865,280","272,953,477","5,058,674","4,589,537","4,138,692","469,137",83,74,44,9
KSI,"2,238,257,696","1,888,461,994","512,639,127","349,795,702","772,859","734,843","256,987","38,016",109,96,30,13
Montell Fish,"2,241,128,325","2,167,217,753","2,099,886,428","73,910,572","2,470,066","2,429,460","2,358,809","40,606",116,86,75,30
Selena Gomez & The Scene,"2,241,365,437","2,241,365,437","2,229,401,624",0,"1,153,172","1,153,172","1,150,657",0,71,71,69,0
Nanpa Básico,"2,242,776,108","1,451,989,185","520,700,340","790,786,923","2,136,650","1,446,135","337,096","690,515",190,146,97,44
Wu-Tang Clan,"2,244,912,372","2,101,303,953","1,419,859,629","143,608,419","835,638","759,326","553,616","76,312",328,293,110,35
Irshad Kamil,"2,247,246,384",0,0,"2,247,246,384","3,280,420",0,0,"3,280,420",100,0,0,100
Omar Montes,"2,245,300,110","1,031,341,791","79,183,822","1,213,958,319","965,109","428,986","47,369","536,123",169,72,27,97
Manuel Medrano,"2,250,245,040","2,038,447,764","1,857,397,023","211,797,276","1,262,826","1,203,411","1,072,298","59,415",59,48,40,11
Tom Petty and the Heartbreakers,"2,247,426,851","2,160,126,109","2,149,010,463","87,300,742","960,302","890,123","887,458","70,179",313,311,307,2
Quality Control,"2,251,048,210","2,250,379,394",0,"668,816","704,591","703,739",0,852,67,65,0,2
Kumar Sanu,"2,253,803,390","1,389,337,249","380,240,066","864,466,141","2,520,232","1,642,985","489,034","877,247",459,307,102,152
Pablo Chill-E,"2,254,928,560","790,861,074","225,723,765","1,464,067,486","1,294,331","569,507","210,022","724,824",264,114,34,150
Fonseca,"2,258,408,159","1,812,420,277","1,417,361,316","445,987,882","1,107,299","982,976","847,583","124,323",175,149,119,26
INXS,"2,260,993,545","2,235,963,564","2,223,985,094","25,029,981","1,315,136","1,305,381","1,300,501","9,755",238,232,218,6
Boef,"2,261,847,368","1,385,854,040","779,083,388","875,993,328","473,954","263,250","151,381","210,704",138,92,58,46
Frenna,"2,263,972,282","1,321,236,325","355,759,998","942,735,957","834,055","578,206","289,967","255,849",209,140,47,69
Chicago,"2,253,833,491","2,253,833,491","2,249,039,272",0,"1,079,017","1,079,017","1,077,125",0,394,394,390,0
Kenny Rogers,"2,257,885,100","1,718,390,180","1,456,362,474","539,494,920","1,290,185","1,049,760","910,431","240,425",364,351,308,13
Creed,"2,265,278,087","2,265,278,087","2,264,435,881",0,"2,468,199","2,468,199","2,462,033",0,90,90,89,0
Pouya,"2,266,004,508","1,207,015,696","521,171,484","1,058,988,812","853,696","419,750","244,354","433,946",175,131,60,44
Earl Sweatshirt,"2,267,073,027","1,329,449,989","681,624,402","937,623,038","1,067,577","437,372","156,150","630,205",94,72,35,22
Jamie Foxx,"2,267,339,298","507,894,814","94,161,338","1,759,444,484","906,217","127,950","20,104","778,267",110,78,48,32
Soulja Boy,"2,271,644,545","1,925,092,692","1,069,363,537","346,551,853","1,172,863","993,801","443,137","179,062",226,180,132,46
Will Smith,"2,272,827,115","1,768,016,359","1,614,112,662","504,810,756","748,079","688,436","624,779","59,643",99,86,54,13
Brett Young,"2,275,066,459","2,117,441,503","2,042,940,670","157,624,956","700,235","656,170","642,041","44,065",84,76,64,8
Lary Over,"2,277,976,488","803,602,062","116,236,369","1,474,374,426","838,258","327,083","25,822","511,175",99,42,12,57
Jere Klein,"2,278,005,397","1,429,738,117","126,823,300","848,267,280","2,152,965","1,190,240","58,942","962,725",52,31,4,21
Grimes,"2,278,413,223","1,979,306,279","1,688,290,239","299,106,944","24,199,357","23,802,822","17,049,263","396,535",120,99,77,21
Teto,"2,278,995,038","1,212,198,119","723,080,027","1,066,796,919","1,514,271","644,482","365,306","869,789",45,21,14,24
Maite Perroni,"2,279,020,640","457,282,360","154,793,639","1,821,738,280","767,543","55,175","22,845","712,368",222,38,26,184
Virlan Garcia,"2,279,372,468","2,236,845,877","2,031,577,202","42,526,591","1,259,936","1,248,735","1,168,985","11,201",165,153,136,12
Arcade Fire,"2,280,072,200","2,280,072,200","2,177,115,287",0,"522,814","522,814","428,034",0,112,112,93,0
Ángela Aguilar,"2,284,722,133","1,021,552,737","464,542,397","1,263,169,396","1,387,139","562,681","172,808","824,458",92,71,57,21
Aitch,"2,292,208,465","1,075,948,397","416,700,935","1,216,260,068","619,563","276,786","60,451","342,777",117,77,43,40
Olexesh,"2,290,004,033","1,246,109,464","601,251,010","1,043,894,569","710,041","317,503","126,578","392,538",366,309,191,57
Grupo Bryndis,"2,295,854,657","2,258,052,330","2,056,492,601","37,802,327","1,819,101","1,809,884","1,676,281","9,217",316,314,293,2
Blxst,"2,297,501,024","1,235,847,532","444,178,963","1,061,653,492","1,048,720","519,212","168,610","529,508",139,100,45,39
M.I.A.,"2,298,811,282","1,758,193,253","1,620,302,148","540,618,029","1,290,267","1,030,118","980,740","260,149",122,106,88,16
Dennis Lloyd,"2,300,967,139","2,127,299,597","1,949,643,525","173,667,542","565,587","531,490","506,944","34,097",55,53,45,2
Tulsi Kumar,"2,300,039,549","498,832,808","50,854,884","1,801,206,741","2,646,523","375,665","20,156","2,270,858",167,72,20,95
WIU,"2,304,223,115","1,357,435,255","725,553,851","946,787,860","2,038,778","1,178,495","757,160","860,283",76,41,36,35
Davido,"2,304,391,113","1,319,790,172","602,311,640","984,600,941","2,189,468","1,538,277","409,593","651,191",224,111,54,113
Lata Mangeshkar,"2,294,142,934","1,569,173,044","638,779,695","724,969,890","2,698,163","1,890,147","864,874","808,016",616,499,269,117
WOS,"2,305,775,907","2,083,558,127","1,891,486,948","222,217,780","899,692","816,513","711,653","83,179",57,48,39,9
Xand Avião,"2,304,434,657","977,414,710","556,597,562","1,327,019,947","1,145,366","486,948","169,456","658,418",241,184,158,57
Conjunto Primavera,"2,307,178,970","2,301,115,115","2,228,079,092","6,063,855","2,280,687","2,277,882","2,238,718","2,805",443,437,433,6
Counting Crows,"2,310,612,482","2,304,605,358","2,051,966,312","6,007,124","1,023,937","1,022,533","919,713","1,404",204,201,198,3
Eurythmics,"2,311,577,734","2,309,975,065","9,917,739","1,602,669","1,096,039","1,094,189","3,571","1,850",174,173,9,1
LMFAO,"2,315,978,173","1,989,235,509","803,991,305","326,742,664","1,046,839","911,683","357,073","135,156",65,52,27,13
Jungle,"2,316,059,849","2,276,287,228","1,938,762,102","39,772,621","1,858,582","1,844,940","1,457,790","13,642",96,85,53,11
Masego,"2,321,272,732","1,838,132,440","671,381,727","483,140,292","1,255,549","986,783","432,793","268,766",112,79,48,33
Angus & Julia Stone,"2,321,914,862","2,251,909,373","2,224,268,361","70,005,489","680,223","673,835","671,595","6,388",153,151,149,2
Hotel Ugly,"2,323,164,520","2,323,164,520","2,323,164,520",0,"2,241,875","2,241,875","2,241,875",0,23,23,23,0
RM,"2,323,722,006","1,866,856,870","995,288,381","456,865,136","1,651,378","1,289,268","729,156","362,110",38,31,17,7
Janelle Monáe,"2,323,928,192","925,396,376","548,851,241","1,398,531,816","956,816","171,264","98,310","785,552",120,106,63,14
BØRNS,"2,325,246,091","2,324,171,594","2,270,347,801","1,074,497","743,399","742,881","732,415",518,50,49,45,1
Daveed Diggs,"2,326,961,676","290,763,651","1,850,737","2,036,198,025","900,627","109,142","2,163","791,485",42,12,2,30
Léo Santana,"2,328,115,467","1,542,626,353","737,913,426","785,489,114","1,114,038","801,949","444,164","312,089",303,234,167,69
Duelo,"2,332,536,540","2,203,705,762","2,202,712,730","128,830,778","1,931,332","1,772,058","1,769,758","159,274",275,262,260,13
Franco De Vita,"2,333,510,252","2,149,843,929","1,392,568,817","183,666,323","991,640","945,925","688,138","45,715",221,207,172,14
back number,"2,333,867,069","2,333,332,528","2,332,496,434","534,541","2,443,397","2,443,078","2,441,417",319,125,124,123,1
Lenin Ramírez,"2,333,886,854","1,880,158,909","537,124,749","453,727,945","1,059,378","821,414","138,410","237,964",226,198,129,28
Majid Jordan,"2,336,030,900","962,506,538","599,544,435","1,373,524,362","747,283","218,727","110,184","528,556",85,71,57,14
Lupe Fiasco,"2,336,396,008","1,900,758,537","785,721,638","435,637,471","783,251","525,508","268,072","257,743",188,167,89,21
Tony Dize,"2,341,968,569","1,550,749,088","462,114,404","791,219,481","1,379,985","1,044,452","306,989","335,533",51,35,20,16
Joaquín Sabina,"2,342,246,033","2,018,300,174","1,951,527,928","323,945,859","873,829","743,277","697,319","130,552",351,271,259,80
Estopa,"2,344,262,325","2,115,083,790","1,916,623,722","229,178,535","1,034,386","925,263","843,183","109,123",198,184,154,14
Rocío Dúrcal,"2,344,346,837","2,283,310,098","1,826,802,907","61,036,739","1,241,001","1,219,754","1,035,301","21,247",368,344,306,24
Lalo Ebratt,"2,344,351,466","630,948,604","4,281,711","1,713,402,862","518,645","111,562","2,112","407,083",87,32,7,55
Khruangbin,"2,345,983,385","2,208,930,543","1,564,479,424","137,052,842","1,387,268","1,307,900","846,864","79,368",136,121,99,15
Chris Jedi,"2,348,223,021","1,774,820,914",0,"573,402,107","968,523","720,068",0,"248,455",21,14,0,7
Ayra Starr,"2,347,130,495","977,978,611","794,735,590","1,369,151,884","2,529,765","889,785","566,165","1,639,980",95,45,30,50
Mike Perry,"2,348,693,503","1,966,677,407","165,226,402","382,016,096","362,880","291,221","42,399","71,659",62,48,10,14
Dimitri Vegas,"2,349,346,221","548,826,914","2,388,298","1,800,519,307","1,643,234","414,774",142,"1,228,460",90,41,2,49
Ado,"2,351,917,058","2,294,159,949","2,253,600,732","57,757,109","2,848,395","2,346,190","2,268,364","502,205",71,67,59,4
The Marías,"2,354,659,052","1,739,506,240","1,693,755,592","615,152,812","6,717,620","6,041,591","6,017,499","676,029",57,51,50,6
Kimbra,"2,365,258,209","169,940,729","161,376,649","2,195,317,480","1,389,705","20,600","18,440","1,369,105",116,94,75,22
INNA,"2,365,471,676","1,641,727,629","1,095,027,688","723,744,047","1,261,724","867,231","615,824","394,493",293,239,163,54
White Noise Baby Sleep,"2,372,588,804","2,012,191,931","508,618,184","360,396,873","4,808","1,333","1,333","3,475",295,152,108,143
Kina,"2,373,525,889","2,322,517,473","339,955,943","51,008,416","485,468","467,876","92,149","17,592",49,39,5,10
Chris Young,"2,371,230,325","2,368,026,023","1,853,974,967","3,204,302","521,899","521,544","421,159",355,125,122,109,3
James TW,"2,374,747,017","2,327,691,537","2,325,822,403","47,055,480","307,925","284,167","283,090","23,758",62,56,54,6
ROSÉ,"2,376,647,815","2,376,647,815","1,376,221,952",0,"14,958,921","14,958,921","5,742,484",0,15,15,14,0
Bausa,"2,377,969,841","1,185,186,891","742,760,080","1,192,782,950","952,082","328,013","183,758","624,069",155,96,65,59
TOOL,"2,379,311,645","2,379,311,645","2,379,311,645",0,"1,323,861","1,323,861","1,323,861",0,66,66,66,0
Lvbel C5,"2,379,387,042","1,827,926,861","1,141,594,858","551,460,181","1,573,553","1,224,710","599,957","348,843",79,62,45,17
Ella Eyre,"2,382,093,360","694,729,218","645,132,630","1,687,364,142","724,068","109,639","106,012","614,429",97,59,35,38
Pink Sweat$,"2,383,936,958","2,178,287,569","1,833,489,799","205,649,389","638,077","583,457","504,534","54,620",90,65,42,25
Pantera,"2,384,927,957","2,384,927,957","2,384,927,957",0,"1,395,548","1,395,548","1,395,548",0,176,176,176,0
Tion Wayne,"2,385,411,537","1,149,741,109","113,987,970","1,235,670,428","552,149","268,976","28,349","283,173",127,81,28,46
MKTO,"2,387,849,063","2,366,626,736","2,319,968,418","21,222,327","670,372","664,708","659,677","5,664",42,41,34,1
Ronnie Flex,"2,388,048,847","833,529,636","187,459,062","1,554,519,211","780,154","189,742","23,963","590,412",199,92,40,107
Tom Walker,"2,388,189,313","2,131,151,971","1,831,862,874","257,037,342","687,314","648,532","604,907","38,782",128,110,57,18
Blondie,"2,388,551,979","2,388,551,979","2,373,288,737",0,"1,272,779","1,272,779","1,268,507",0,226,226,210,0
Tayc,"2,391,841,464","1,782,716,214","1,374,093,429","609,125,250","1,712,685","1,231,636","956,941","481,049",212,146,116,66
Spice Girls,"2,392,438,834","2,392,438,834","2,382,103,115",0,"997,361","997,361","992,697",0,104,104,77,0
Sara Bareilles,"2,393,714,406","2,257,474,588","2,176,464,727","136,239,818","587,514","550,251","535,007","37,263",192,180,165,12
Jacquees,"2,393,926,923","1,713,581,832","951,326,613","680,345,091","1,024,741","801,248","501,089","223,493",186,105,62,81
Pineapple StormTv,"2,396,860,370","920,681,770",0,"1,476,178,600","1,162,410","525,377",0,"637,033",209,71,0,138
Ultimo,"2,398,463,347","2,243,839,335","2,230,355,514","154,624,012","1,005,370","907,367","903,613","98,003",101,98,96,3
The Living Tombstone,"2,398,612,244","2,336,966,420","1,579,906,427","61,645,824","1,176,994","1,102,958","708,074","74,036",130,121,73,9
Talking Heads,"2,399,131,871","2,399,131,871","2,398,925,139",0,"1,049,711","1,049,711","1,049,697",0,196,196,194,0
Coi Leray,"2,401,676,635","1,026,584,510","683,021,375","1,375,092,125","1,230,443","271,153","196,209","959,290",145,97,61,48
The National,"2,399,888,848","2,196,447,944","2,053,571,391","203,440,904","721,902","638,957","531,454","82,945",240,238,231,2
Lykke Li,"2,403,640,950","2,229,787,012","1,470,884,017","173,853,938","850,297","788,535","436,287","61,762",117,108,86,9
Rusherking,"2,404,249,696","910,628,729","160,489,240","1,493,620,967","1,058,955","324,859","21,699","734,096",82,43,25,39
Bullet For My Valentine,"2,405,312,603","2,387,277,561","2,379,305,805","18,035,042","918,696","901,559","896,024","17,137",177,174,173,3
Thundercat,"2,407,502,877","1,544,344,686","1,221,647,881","863,158,191","1,182,803","624,866","465,497","557,937",119,99,61,20
Jenni Rivera,"2,409,268,967","2,354,513,475","2,133,246,065","54,755,492","1,129,952","1,099,602","1,010,977","30,350",372,362,349,10
CKay,"2,409,918,709","2,318,112,781","1,296,541,861","91,805,928","966,842","914,448","533,268","52,394",79,60,28,19
Natiruts,"2,412,140,252","2,259,987,490","1,606,932,368","152,152,762","1,260,964","1,181,530","856,242","79,434",241,226,186,15
Ana Gabriel,"2,416,473,943","2,355,611,463","2,262,208,166","60,862,480","1,822,545","1,776,246","1,725,815","46,299",309,302,298,7
Fivio Foreign,"2,416,890,993","660,587,920","216,615,590","1,756,303,073","543,248","123,867","30,798","419,381",143,59,26,84
Mc Livinho,"2,417,002,844","1,712,759,607","328,967,105","704,243,237","2,371,284","1,058,382","121,154","1,312,902",209,155,66,54
j-hope,"2,417,976,157","2,256,969,041","1,493,096,946","161,007,116","1,801,158","1,723,088","965,423","78,070",33,31,23,2
Lucenzo,"2,419,314,833","2,376,989,776","375,798,631","42,325,057","1,658,784","1,540,667","189,726","118,117",32,27,17,5
Mc Kevin,"2,419,668,768","1,761,757,608","390,674,139","657,911,160","1,771,701","1,392,554","357,272","379,147",257,181,44,76
Kordhell,"2,423,167,860","2,197,907,219","1,931,543,656","225,260,641","1,072,273","969,918","783,638","102,355",139,117,71,22
UB40,"2,421,938,723","2,395,113,261","2,211,916,025","26,825,462","1,071,920","1,064,251","997,468","7,669",369,366,330,3
Audioslave,"2,426,772,958","2,426,772,958","2,426,772,958",0,"1,379,840","1,379,840","1,379,840",0,64,64,64,0
Kumaar,"2,426,011,043","122,391,843",0,"2,303,619,200","1,658,628","29,563",0,"1,629,065",175,31,0,144
Gotye,"2,430,166,450","2,429,117,906","243,538,425","1,048,544","1,407,333","1,407,025","41,713",308,49,48,31,1
Kidd Keo,"2,432,157,349","2,113,286,856","1,487,664,852","318,870,493","1,270,405","943,014","695,100","327,391",163,124,81,39
Max Richter,"2,441,191,728","2,433,781,170","1,313,739,654","7,410,558","922,684","915,829","416,264","6,855",866,861,444,5
Caifanes,"2,441,756,655","2,441,756,655","2,441,756,655",0,"1,658,567","1,658,567","1,658,567",0,54,54,54,0
Bo Burnham,"2,444,555,316","2,444,555,316","2,444,555,316",0,"899,879","899,879","899,879",0,98,98,98,0
Young Nudy,"2,445,419,420","1,562,182,952","671,544,277","883,236,468","1,022,167","715,805","306,609","306,362",213,184,145,29
Dynoro,"2,446,713,889","2,055,862,756","123,688,003","390,851,133","745,540","643,045","25,957","102,495",23,16,6,7
Cher,"2,447,172,731","2,385,040,688","2,214,089,886","62,132,043","1,284,475","1,259,553","1,162,028","24,922",252,249,200,3
Asees Kaur,"2,447,474,472","430,664,284","53,337,050","2,016,810,188","962,390","257,133","21,547","705,257",157,69,27,88
Rahat Fateh Ali Khan,"2,448,957,786","1,570,690,021","472,393,610","878,267,765","3,831,675","2,736,858","1,400,460","1,094,817",215,171,103,44
