Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Natalie Imbruglia,"1,048,644,056","1,048,032,896","1,047,264,172","611,160","628,244","627,376","627,167",868,85,84,83,1
Natalie Cole,"1,049,049,590","985,413,247","792,093,513","63,636,343","463,825","443,182","389,997","20,643",167,152,131,15
Burak Bulut,"1,049,091,202","779,734,691","226,604,037","269,356,511","736,889","571,715","305,381","165,174",59,42,17,17
CYRIL,"1,049,120,349","600,849,441","508,861,886","448,270,908","3,386,614","1,874,373","1,092,146","1,512,241",29,21,8,8
James Carter,"1,049,127,275","366,049,937","75,114,462","683,077,338","553,217","168,123","47,965","385,094",73,46,4,27
AJ Mitchell,"1,049,920,744","927,535,997","610,351,153","122,384,747","141,983","120,762","91,144","21,221",47,43,37,4
Dinos,"1,050,505,750","958,913,394","606,393,635","91,592,356","673,654","631,694","290,479","41,960",186,156,110,30
Norma Jean Martine,"1,050,836,768","6,723,631","6,234,575","1,044,113,137","791,524","2,354",507,"789,170",29,10,9,19
Hollow Coves,"1,050,879,206","1,050,879,206","1,028,727,219",0,"864,661","864,661","836,301",0,45,45,37,0
Sertab Erener,"1,050,877,085","1,018,632,531","976,016,456","32,244,554","1,251,185","1,002,568","917,096","248,617",214,204,181,10
Hivi!,"1,051,216,092","1,007,994,988","942,786,419","43,221,104","1,380,525","1,103,448","1,075,106","277,077",49,44,42,5
Danny Brown,"1,051,234,976","559,591,963","407,510,696","491,643,013","359,129","109,964","83,850","249,165",202,145,115,57
KC & The Sunshine Band,"1,051,295,273","1,051,295,273","1,049,405,439",0,"539,355","539,355","539,009",0,92,92,84,0
LIZOT,"1,052,545,737","687,375,604","50,872,565","365,170,133","513,187","363,495","35,398","149,692",137,88,10,49
B.B. King,"1,051,468,811","734,629,927","479,268,925","316,838,884","331,413","249,250","170,181","82,163",519,479,417,40
Carole King,"1,052,617,259","1,049,549,725","995,965,838","3,067,534","406,084","405,287","394,251",797,208,201,179,7
VASSY,"1,052,726,485","55,357,141","23,068,679","997,369,344","250,355","15,384","3,641","234,971",74,39,14,35
Thin Lizzy,"1,052,743,189","1,052,461,818","1,051,573,844","281,371","332,117","332,039","331,791",78,275,274,272,1
Grupo Los de la O,"1,052,966,718","1,008,388,189","747,115,711","44,578,529","548,269","536,624","340,229","11,645",132,118,94,14
Lele Pons,"1,054,870,465","834,446,987","273,751,518","220,423,478","226,676","183,252","65,147","43,424",30,21,4,9
